component,rmse_m,p95_m,color_hex
balise,0.12105465728269887,0.20680431289222054,#1b9e77
map,0.024728816886680074,0.049804878499622264,#7570b3
odometry,0.7470091998631536,1.2388572026938058,#d95f02
imu,0.25030839383833864,0.40724317369276,#e7298a
gnss_open,0.386078932671718,0.6450270118718823,#66a61e
secure,0.7587711143488912,1.359637106205112,#1f78b4
unsafe,0.46577294065171254,0.7649939511500276,#e31a1c
fused,0.39715019145232366,0.683152786319096,#6a3d9a
gnss_urban,0.9622910061628581,1.626852256829652,#000000
gnss_tunnel,0.0,0.0,#000000
