component,rmse_m,p95_m,color_hex
balise,0.14155528989206748,0.24286578601895106,#1b9e77
map,0.030394659108111413,0.062402836864417964,#7570b3
odometry,0.7469341367096498,1.240029506142515,#d95f02
imu,0.3003700726060064,0.48869180843131194,#e7298a
gnss_open,0.49385786392140874,0.8273052901057307,#66a61e
secure,0.7634468308583336,1.3904852987163203,#1f78b4
unsafe,0.5857874368849717,0.9664830355787801,#e31a1c
fused,0.7558539852452945,1.3748396229797688,#6a3d9a
gnss_urban,1.209386014185409,2.0513381233924415,#000000
gnss_tunnel,0.0,0.0,#000000
