component,mean,std,rmse,p50,p90,p95,p99,secure_interval_p99_additive,secure_interval_p99_joint,secure_interval_additive_bias_pct,rmse_lateral,p95_lateral,rmse_2d,p95_2d,rmse_ci95_lower,rmse_ci95_upper,fusion_mode
balise,0.1231183291230316,0.06985889461547343,0.14155528989206748,0.12008756223833351,0.2170100672246589,0.24286578601895106,0.291656015441458,,,,,,,,,,
map,0.012373056347549741,0.027763642788811948,0.030394659108111413,0.009958665978395842,0.05019411378600913,0.062402836864417964,0.08343118866217399,,,,,,,,,,
odometry,0.00457114600086765,0.7469574979587555,0.7469341367096498,0.005573647742120513,0.9533375929965167,1.240029506142515,1.7773445015361309,,,,,,,,,,
imu,0.0033876959612111394,0.3003659867661659,0.3003700726060064,0.004472429544498689,0.38419962968021987,0.48869180843131194,0.6952913326512032,,,,,,,,,,
gnss_open,0.005609050498404878,0.4938507033114756,0.49385786392140874,0.007573697790112384,0.6409329302427769,0.8273052901057307,1.138774530844458,,,,,,,,,,
secure,0.14006253147144898,0.7505264018097056,0.7634468308583336,0.14542340477962468,1.0996048950111177,1.3904852987163203,1.9352327049562577,,,,,,,,,,
unsafe,0.0028333805220620684,0.5858098757174812,0.5857874368849717,0.00021679137737977416,0.7643808624787162,0.9664830355787801,1.3303003364516512,,,,,,,,,,
fused,0.1368435156173434,0.7434005405439572,0.7558539852452945,0.14341623149815502,1.0945927411052414,1.3748396229797688,1.903386293532765,2.285279147025169,1.9848806127547953,15.13433766948098,0.037149282662954544,0.06352008898402618,0.756766355101471,1.4993279882089832,0.7459576866546096,0.7652071330961193,rule_based
gnss_urban,0.09554071966516103,1.2056665647597893,1.209386014185409,0.08744270985787606,1.6105440254186185,2.0513381233924415,2.9522766680213732,,,,,,,,,,
gnss_tunnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
