component,rmse_m,p95_m,color_hex
balise,0.14155528989206748,0.24286578601895106,#1b9e77
map,0.030394659108111413,0.062402836864417964,#7570b3
odometry,0.7469341367096498,1.240029506142515,#d95f02
imu,0.3003700726060064,0.48869180843131194,#e7298a
gnss_open,0.4936250532641239,0.8191335520244046,#66a61e
secure,0.7634468308583336,1.3904852987163203,#1f78b4
unsafe,0.5789421091108379,0.9568493078188368,#e31a1c
fused,0.5784899426462602,0.9568493078188368,#6a3d9a
gnss_urban,1.1681369885824338,2.0602347215490178,#000000
gnss_tunnel,0.0,0.0,#000000
