component,mean,std,rmse,p50,p90,p95,p99,secure_interval_p99_additive,secure_interval_p99_joint,secure_interval_additive_bias_pct,rmse_lateral,p95_lateral,rmse_2d,p95_2d,rmse_ci95_lower,rmse_ci95_upper,fusion_mode
balise,0.1231183291230316,0.06985889461547343,0.14155528989206748,0.12008756223833351,0.2170100672246589,0.24286578601895106,0.291656015441458,,,,,,,,,,
map,0.012373056347549741,0.027763642788811948,0.030394659108111413,0.009958665978395842,0.05019411378600913,0.062402836864417964,0.08343118866217399,,,,,,,,,,
odometry,0.00457114600086765,0.7469574979587555,0.7469341367096498,0.005573647742120513,0.9533375929965167,1.240029506142515,1.7773445015361309,,,,,,,,,,
imu,0.0033876959612111394,0.3003659867661659,0.3003700726060064,0.004472429544498689,0.38419962968021987,0.48869180843131194,0.6952913326512032,,,,,,,,,,
gnss_open,0.0007170350504274875,0.4936492155625776,0.4936250532641239,-0.0,0.6295748883503913,0.8191335520244046,1.1806881236777598,,,,,,,,,,
secure,0.14006253147144898,0.7505264018097056,0.7634468308583336,0.14542340477962468,1.0996048950111177,1.3904852987163203,1.9352327049562577,,,,,,,,,,
unsafe,0.004482858341470002,0.5789537014491208,0.5789421091108379,0.0016260096587899717,0.755099565278749,0.9568493078188368,1.323295010442067,,,,,,,,,,
fused,0.0047003358957037325,0.5784997725012685,0.5784899426462602,0.0016260096587899717,0.755099565278749,0.9568493078188368,1.323295010442067,2.285279147025169,1.9848806127547953,15.13433766948098,0.03716741610144815,0.06344105929373027,0.5796826981742095,1.1274770290653802,0.5699877175331184,0.5869573654115708,rule_based
gnss_urban,0.08840296081505444,1.1648453232409341,1.1681369885824338,0.0,1.6009095062565224,2.0602347215490178,2.8649508879813155,,,,,,,,,,
gnss_tunnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
