component,mean,std,rmse,p50,p90,p95,p99,secure_interval_p99_additive,secure_interval_p99_joint,secure_interval_additive_bias_pct,rmse_lateral,p95_lateral,rmse_2d,p95_2d,rmse_ci95_lower,rmse_ci95_upper,fusion_mode
balise,0.10562997273286269,0.059134495847570065,0.12105465728269887,0.10355137951398541,0.18583792900196974,0.20680431289222054,0.24376941009586922,,,,,,,,,,
map,0.007812026522575225,0.023463624621817794,0.024728816886680074,0.006110624828119109,0.038669720283514,0.049804878499622264,0.06927324733437461,,,,,,,,,,
odometry,0.0042720190704836755,0.7493405944960655,0.7493153045107243,0.005754789398654947,0.9544569216729938,1.236393686176661,1.7753331446533627,,,,,,,,,,
imu,0.0028230799676759494,0.2503049889718049,0.25030839383833864,0.0037270246204155746,0.3201663580668499,0.40724317369276,0.5794094438760027,,,,,,,,,,
gnss_open,0.004720585570626833,0.38606937625397264,0.386078932671718,0.005419893091180936,0.499430433940597,0.6450270118718823,0.8938713893155165,,,,,,,,,,
secure,0.11771401832592157,0.751846125974957,0.7609682384924301,0.1179681443841728,1.0710792773116788,1.3654608351060864,1.9067988892102758,,,,,,,,,,
unsafe,0.0022534332803768164,0.4657907796284007,0.46577294065171254,-1.5077531171678316e-05,0.6096448134146892,0.7649939511500276,1.0536601108272075,,,,,,,,,,
fused,0.11397988362777574,0.7438455997776643,0.752490770410351,0.11689648611643773,1.0632273760927466,1.351890138527661,1.8621447946547696,2.236761305678859,1.975903930667813,13.201926012813892,0.0358011973427464,0.05898964500494052,0.7533419444607727,1.4871019758527941,0.7426340663138349,0.7621040060463626,rule_based
gnss_urban,0.052078085167194636,0.9609288173462407,0.9622910061628581,0.05089072532140673,1.267311052619007,1.626852256829652,2.3302938455380136,,,,,,,,,,
gnss_tunnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
