component,mean,std,rmse,p50,p90,p95,p99,secure_interval_p99_additive,secure_interval_p99_joint,secure_interval_additive_bias_pct,rmse_lateral,p95_lateral,rmse_2d,p95_2d,rmse_ci95_lower,rmse_ci95_upper,fusion_mode
balise,0.10562997273286269,0.059134495847570065,0.12105465728269887,0.10355137951398541,0.18583792900196974,0.20680431289222054,0.24376941009586922,,,,,,,,,,
map,0.007812026522575225,0.023463624621817794,0.024728816886680074,0.006110624828119109,0.038669720283514,0.049804878499622264,0.06927324733437461,,,,,,,,,,
odometry,0.0042720190704836755,0.7493405944960655,0.7493153045107243,0.005754789398654947,0.9544569216729938,1.236393686176661,1.7753331446533627,,,,,,,,,,
imu,0.0028230799676759494,0.2503049889718049,0.25030839383833864,0.0037270246204155746,0.3201663580668499,0.40724317369276,0.5794094438760027,,,,,,,,,,
gnss_open,0.00046291528738407026,0.38611344375576295,0.3860944151115801,-0.0,0.4911822469226756,0.6391924990959716,0.9231086292759138,,,,,,,,,,
secure,0.11771401832592157,0.751846125974957,0.7609682384924301,0.1179681443841728,1.0710792773116788,1.3654608351060864,1.9067988892102758,,,,,,,,,,
unsafe,0.0032344530821702294,0.462319563548588,0.4623077617654863,0.0006235862510193951,0.606650235699318,0.7636561913216134,1.0534698010603005,,,,,,,,,,
fused,0.0032344530821702294,0.462319563548588,0.4623077617654863,0.0006235862510193951,0.606650235699318,0.7636561913216134,1.0534698010603005,2.236761305678859,1.975903930667813,13.201926012813892,0.035817220002950234,0.059085809768887436,0.4636931526746469,0.8967740046777841,0.45599391462609434,0.4689901102376857,rule_based
gnss_urban,0.05296639105076944,0.9465045123931598,0.947938101081689,0.0,1.2837113666406537,1.642149552939929,2.3063436152640016,,,,,,,,,,
gnss_tunnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
