component,mean,std,rmse,p50,p90,p95,p99,secure_interval_p99_additive,secure_interval_p99_joint,secure_interval_additive_bias_pct,rmse_lateral,p95_lateral,rmse_2d,p95_2d,rmse_ci95_lower,rmse_ci95_upper,fusion_mode
balise,0.10562997273286269,0.059134495847570065,0.12105465728269887,0.10355137951398541,0.18583792900196974,0.20680431289222054,0.24376941009586922,,,,,,,,,,
map,0.007812026522575225,0.023463624621817794,0.024728816886680074,0.006110624828119109,0.038669720283514,0.049804878499622264,0.06927324733437461,,,,,,,,,,
odometry,0.004587643379179534,0.7468808011621696,0.7468575463388614,0.0049552622960257735,0.953239316474078,1.2404640292035223,1.7788300337710756,,,,,,,,,,
imu,0.0028230799676759494,0.2503049889718049,0.25030839383833864,0.0037270246204155746,0.3201663580668499,0.40724317369276,0.5794094438760027,,,,,,,,,,
gnss_open,0.00046291528738407026,0.38611344375576295,0.3860944151115801,-0.0,0.4911822469226756,0.6391924990959716,0.9231086292759138,,,,,,,,,,
secure,0.11802964263461745,0.7494319384483363,0.7586323629294033,0.12183718695446644,1.0729553268358183,1.360376085115365,1.9156577154772723,,,,,,,,,,
unsafe,0.0032344530821702294,0.462319563548588,0.4623077617654863,0.0006235862510193951,0.606650235699318,0.7636561913216134,1.0534698010603005,,,,,,,,,,
fused,0.11455057870361765,0.741155134957956,0.7499185542860453,0.12059610907931242,1.067908746035999,1.3477337700886869,1.8660417907453204,2.2245469594257608,1.9702335613413684,12.907779213305638,0.035817220002950234,0.059085809768887436,0.7507734087667277,1.489944704810177,0.7405184824183083,0.7598166661134487,rule_based
gnss_urban,0.05296639105076944,0.9465045123931598,0.947938101081689,0.0,1.2837113666406537,1.642149552939929,2.3063436152640016,,,,,,,,,,
gnss_tunnel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
